player,venue,runs,balls,boundaries,matches,entity_type,strike_rate,wickets,economy
D Sabir,"Maple Leaf North-East Ground, King City",35,48,,2,bowler,,5.0,4.38
JDP Oram,Docklands Stadium,24,22,2.0,1,batter,109.09,,
LJ Wright,New Wanderers Stadium,51,48,,2,bowler,,2.0,6.38
CS MacLeod,Hagley Oval,194,165,22.0,3,batter,117.58,,
NL McCullum,Saxton Oval,30,60,,1,bowler,,1.0,3.0
Yousuf Youhana,"Newlands, Cape Town",49,30,8.0,2,batter,163.33,,
HA Varaiya,Hagley Oval,36,60,,1,bowler,,0.0,3.6
Thuya Aung,Udayana Cricket Ground,61,108,,6,bowler,,6.0,3.39
CJ Anderson,Clontarf Cricket Club Ground,24,32,3.0,1,batter,75.0,,
J Singye,Gelephu International Cricket Ground,84,137,3.0,9,batter,61.31,,
R Baaleri,"Achimota Senior Secondary School A Field, Accra",31,34,4.0,3,batter,91.18,,
M Morkel,Harare Sports Club,25,17,2.0,3,batter,147.06,,
GC Smith,Carisbrook,37,57,5.0,1,batter,64.91,,
R Shepherd,Rangiri Dambulla International Stadium,20,17,2.0,3,batter,117.65,,
DR Smith,Kinrara Academy Oval,147,192,,4,bowler,,5.0,4.59
Haseeb Amjad,"Mission Road Ground, Mong Kok",29,36,,2,bowler,,4.0,4.83
C Rububagumya,Integrated Polytechnic Regional Centre,75,59,5.0,4,batter,127.12,,
E Beukes,Udayana Cricket Ground,269,213,,11,bowler,,9.0,7.58
Yuvraj Singh,Rawalpindi Cricket Stadium,148,228,19.0,3,batter,64.91,,
SK Raina,Moses Mabhida Stadium,41,23,5.0,1,batter,178.26,,
MDKJ Perera,Queens Sports Club,21,20,3.0,2,batter,105.0,,
KA Edwards,Lord's,1,18,0.0,1,batter,5.56,,
MJM Kavana,Sano International Cricket Ground,18,35,1.0,3,batter,51.43,,
AR Patel,"Kingsmead, Durban",7,7,1.0,1,batter,100.0,,
SNJ O'Keefe,Himachal Pradesh Cricket Association Stadium,97,191,,1,bowler,,1.0,3.05
FDM Karunaratne,Basin Reserve,33,59,6.0,1,batter,55.93,,
MR Adair,Harare Sports Club,103,99,11.0,8,batter,104.04,,
KS Bagabena,"Achimota Senior Secondary School B Field, Accra",65,36,,2,bowler,,0.0,10.83
BFW de Leede,"M Chinnaswamy Stadium, Bengaluru",12,21,1.0,1,batter,57.14,,
RR Pant,"Zahur Ahmed Chowdhury Stadium, Chattogram",46,45,8.0,1,batter,102.22,,
TM Head,"Maharashtra Cricket Association Stadium, Pune",10,11,2.0,1,batter,90.91,,
Sompal Kami,"Mission Road Ground, Mong Kok, Hong Kong",98,78,,4,bowler,,6.0,7.54
RR Hendricks,Bellerive Oval,8,26,2.0,1,batter,30.77,,
Z Khan,"Wankhede Stadium, Mumbai",64,42,,1,bowler,,1.0,9.14
RW Chakabva,Saxton Oval,35,62,4.0,1,batter,56.45,,
IS Sodhi,SuperSport Park,82,84,,2,bowler,,2.0,5.86
Gulsan Jha,Mulpani Cricket Ground,38,31,5.0,4,batter,122.58,,
MA Starc,"Sabina Park, Kingston",84,162,,1,bowler,,4.0,3.11
BA Pai,"Royal Brussels Cricket Club Ground, Waterloo",105,72,,3,bowler,,2.0,8.75
JR Hopes,"National Cricket Stadium, St George's",17,17,1.0,1,batter,100.0,,
Mohammad Nawaz (3),Basin Reserve,23,12,4.0,1,batter,191.67,,
A Nortje,National Stadium,0,17,0.0,1,batter,0.0,,
RS Bopara,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",6,3,1.0,1,batter,200.0,,
Mohammed Shami,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",69,60,,1,bowler,,1.0,6.9
RA Jadeja,"Rajiv Gandhi International Stadium, Uppal",436,966,,7,bowler,,19.0,2.71
TB de Bruyn,Newlands,17,42,3.0,1,batter,40.48,,
EC Rainsford,Harare Sports Club,144,203,,5,bowler,,3.0,4.26
BC Fortuin,"Zayed Cricket Stadium, Abu Dhabi",39,53,3.0,2,batter,73.58,,
Mehedi Hasan Miraz,McLean Park,42,48,,1,bowler,,1.0,5.25
I Sharma,Adelaide Oval,539,1062,,6,bowler,,10.0,3.05
Shayan Jahangir,"Grand Prairie Stadium, Dallas",103,87,13.0,6,batter,118.39,,
CBRLS Kumara,"Hagley Oval, Christchurch",137,240,,1,bowler,,4.0,3.42
BAW Mendis,Sinhalese Sports Club Ground,485,971,,5,bowler,,16.0,3.0
MDKJ Perera,"Kennington Oval, London",0,2,0.0,1,batter,0.0,,
CN Greaves,"Bellerive Oval, Hobart",19,18,2.0,2,batter,105.56,,
TL Chatara,Adelaide Oval,22,24,,1,bowler,,0.0,5.5
R Abdulkareem,"Achimota Senior Secondary School A Field, Accra",0,2,0.0,1,batter,0.0,,
VVS Laxman,Kennington Oval,147,254,21.0,3,batter,57.87,,
Agha Salman,"The Wanderers Stadium, Johannesburg",7,6,,1,bowler,,0.0,7.0
MJ Clarke,Docklands Stadium,91,113,7.0,5,batter,80.53,,
RJ Burns,SuperSport Park,89,167,12.0,1,batter,53.29,,
NL McCullum,M Chinnaswamy Stadium,13,12,1.0,1,batter,108.33,,
Soumya Sarkar,Malahide,92,75,14.0,2,batter,122.67,,
SR Watson,Reliance Stadium,5,6,1.0,1,batter,83.33,,
D Pretorius,"Saurashtra Cricket Association Stadium, Rajkot",41,24,,1,bowler,,1.0,10.25
DM de Silva,"Old Trafford, Manchester",14,12,,1,bowler,,0.0,7.0
MM Patel,Newlands,0,3,0.0,1,batter,0.0,,
Festus Benn,"Maple Leaf North-East Ground, King City",40,24,,1,bowler,,1.0,10.0
AG Cremer,"Arnos Vale Ground, Kingstown",40,87,2.0,3,batter,45.98,,
OH Agbomadzie,"Achimota Senior Secondary School A Field, Accra",74,72,,3,bowler,,4.0,6.17
Azhar Ali,Rawalpindi Cricket Stadium,351,715,38.0,5,batter,49.09,,
S Dube,Saurashtra Cricket Association Stadium,12,12,,1,bowler,,0.0,6.0
LH Ferguson,"Kennington Oval, London",5,17,0.0,1,batter,29.41,,
BJ Watling,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",15,26,1.0,1,batter,57.69,,
Haris Sohail,County Ground,19,12,,1,bowler,,0.0,9.5
JE Root,Adelaide Oval,406,820,42.0,7,batter,49.51,,
C de Grandhomme,"Seddon Park, Hamilton",20,45,1.0,2,batter,44.44,,
D Olivier,"Bay Oval, Mount Maunganui",16,65,3.0,1,batter,24.62,,
Junaid Siddique,"ICC Academy, Dubai",22,18,3.0,4,batter,122.22,,
A Shukla,"West End Park International Cricket Stadium, Doha",33,24,,1,bowler,,2.0,8.25
MM Ali,Mangaung Oval,19,15,3.0,1,batter,126.67,,
BJ Haddin,"Sir Vivian Richards Stadium, North Sound",39,65,7.0,1,batter,60.0,,
Amjad Mahboob,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),21,19,3.0,3,batter,110.53,,
SA Jumbe,"Willowmoore Park, Benoni",33,24,6.0,3,batter,137.5,,
Akshay Homraj,Sharjah Cricket Stadium,38,41,2.0,2,batter,92.68,,
DL Vettori,Kingsmead,18,12,2.0,2,batter,150.0,,
SM Harwood,New Wanderers Stadium,48,24,,1,bowler,,0.0,12.0
Khaled Mahmud,R.Premadasa Stadium,7,7,0.0,1,batter,100.0,,
Sirajullah Khadim,"Stars Arena Hofstade, Zemst",81,60,,3,bowler,,4.0,8.1
KS Williamson,JSCA International Stadium Complex,41,59,4.0,1,batter,69.49,,
MM Ali,"Daren Sammy National Cricket Stadium, St Lucia",135,216,,1,bowler,,7.0,3.75
GB Hogg,R Premadasa Stadium,157,126,,6,bowler,,2.0,7.48
DAS Gunaratne,SuperSport Park,124,123,17.0,2,batter,100.81,,
AU Rashid,"National Cricket Stadium, St George's, Grenada",43,48,,2,bowler,,4.0,5.38
GD Elliott,County Ground,56,102,3.0,1,batter,54.9,,
MS Panesar,The Rose Bowl,47,60,,1,bowler,,1.0,4.7
AL Phehlukwayo,Headingley,59,54,,1,bowler,,2.0,6.56
TP Visee,Lord's,11,8,2.0,1,batter,137.5,,
Iftikhar Anjum,Iqbal Stadium,107,146,,3,bowler,,6.0,4.4
MJ Humphreys,"Queens Sports Club, Bulawayo",95,259,,1,bowler,,7.0,2.2
DM Bess,Lord's,62,120,9.0,1,batter,51.67,,
