player,venue,runs,balls,boundaries,matches,entity_type,strike_rate,wickets,economy
LS Baker,Seddon Park,14,12,,1,bowler,,0.0,7.0
JE Root,"Trent Bridge, Nottingham",517,743,66.0,4,batter,69.58,,
JO Holder,"Boland Park, Paarl",41,23,,1,bowler,,0.0,10.7
IS Sodhi,Westpac Stadium,280,222,,8,bowler,,17.0,7.57
SN Thakur,"Zahur Ahmed Chowdhury Stadium, Chattogram",3,5,0.0,1,batter,60.0,,
MF Maharoof,Eden Park,27,24,,1,bowler,,1.0,6.75
Yuvraj Singh,Gaddafi Stadium,18,12,,1,bowler,,0.0,9.0
Yasir Ali,"Royal Brussels Cricket Club Ground, Waterloo",45,30,,2,bowler,,1.0,9.0
CJ Ferguson,St George's Park,3,6,0.0,1,batter,50.0,,
AN Kervezee,Zahur Ahmed Chowdhury Stadium,18,24,2.0,1,batter,75.0,,
DP Conway,"Maharashtra Cricket Association Stadium, Pune",95,170,13.0,2,batter,55.88,,
Soumya Sarkar,"The Village, Malahide",15,12,,1,bowler,,0.0,7.5
JN Frylinck,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),127,188,11.0,12,batter,67.55,,
JF Smith,"The Wanderers Stadium, Johannesburg",20,9,4.0,1,batter,222.22,,
CR Brathwaite,"Darren Sammy National Cricket Stadium, St Lucia",50,72,,2,bowler,,3.0,4.17
A Kumble,"Wankhede Stadium, Mumbai",50,48,,1,bowler,,0.0,6.25
HC Brook,Pallekele International Cricket Stadium,170,91,24.0,5,batter,186.81,,
JM Bairstow,County Ground,223,174,36.0,5,batter,128.16,,
B Lee,Reliance Stadium,0,3,0.0,1,batter,0.0,,
S Shillingford,"Sabina Park, Kingston",67,49,11.0,1,batter,136.73,,
Mashrafe Mortaza,Sawai Mansingh Stadium,13,16,0.0,2,batter,81.25,,
XJ Doherty,"Beausejour Stadium, Gros Islet",2,7,0.0,2,batter,28.57,,
DJ Hooda,"JSCA International Stadium Complex, Ranchi",10,10,1.0,1,batter,100.0,,
RD Rickelton,"Queen's Park Oval, Port of Spain, Trinidad",19,49,2.0,1,batter,38.78,,
HC Brook,"Edgbaston, Birmingham",36,48,,2,bowler,,0.0,4.5
MW Parkinson,"Lord's, London",15,16,2.0,2,batter,93.75,,
DM de Silva,Sher-e-Bangla National Cricket Stadium,10,21,0.0,1,batter,47.62,,
Junaid Siddique,Bulawayo Athletic Club,141,168,,3,bowler,,5.0,5.04
Kaleemullah,Dubai International Cricket Stadium,16,10,2.0,4,batter,160.0,,
MA Wood,University Oval,65,48,,1,bowler,,1.0,8.12
M Vivekanandan,"Bayuemas Oval, Kuala Lumpur",16,45,1.0,3,batter,35.56,,
CS MacLeod,ICC Academy,302,331,31.0,13,batter,91.24,,
DP Hyatt,Barabati Stadium,31,54,3.0,1,batter,57.41,,
JG Bethell,"Maharashtra Cricket Association Stadium, Pune",6,9,0.0,1,batter,66.67,,
A Nel,Wankhede Stadium,35,60,,1,bowler,,2.0,3.5
AC Gilchrist,St Lawrence Ground,45,36,8.0,1,batter,125.0,,
Kuldeep Yadav,"Vidarbha Cricket Association Stadium, Jamtha",102,120,,2,bowler,,3.0,5.1
Fitri Sham,Terdthai Cricket Ground,3,6,0.0,2,batter,50.0,,
JA Richardson,"Simonds Stadium, South Geelong",0,1,0.0,1,batter,0.0,,
HH Gibbs,Gaddafi Stadium,180,250,24.0,4,batter,72.0,,
J Sumerauer,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",61,72,,3,bowler,,6.0,5.08
C Dickson,"Korogi Sports Park, Nisshin",41,21,5.0,1,batter,195.24,,
AB de Villiers,M Chinnaswamy Stadium,88,104,13.0,2,batter,84.62,,
S Chandramohan,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),16,25,1.0,3,batter,64.0,,
Z Khan,"Sardar Patel Stadium, Motera",321,727,,4,bowler,,10.0,2.65
RR Emrit,"MA Chidambaram Stadium, Chepauk",0,2,0.0,1,batter,0.0,,
TH David,"Bellerive Oval, Hobart",118,58,20.0,3,batter,203.45,,
V Sibanda,"Vidarbha Cricket Association Stadium, Jamtha",63,57,7.0,2,batter,110.53,,
JR Hopes,Western Australia Cricket Association Ground,49,79,2.0,5,batter,62.03,,
ML Nkala,Harare Sports Club,48,82,6.0,3,batter,58.54,,
JM Bairstow,"Darren Sammy National Cricket Stadium, St Lucia",79,51,13.0,2,batter,154.9,,
G Bakiweyem,"Achimota Senior Secondary School A Field, Accra",9,11,1.0,1,batter,81.82,,
Misbah-ul-Haq,Shere Bangla National Stadium,502,649,61.0,15,batter,77.35,,
L Siaka,Central Broward Regional Park Stadium Turf Ground,46,78,,2,bowler,,2.0,3.54
SM Curran,"The Village, Malahide, Dublin",27,15,3.0,1,batter,180.0,,
JE Root,Saurashtra Cricket Association Stadium,56,66,,2,bowler,,0.0,5.09
W Madhevere,"Ruaraka Sports Club Ground, Nairobi",8,8,0.0,1,batter,100.0,,
KL Rahul,Old Trafford,207,203,26.0,4,batter,101.97,,
G Kansonkho,"Takashinga Sports Club, Highfield, Harare",46,57,2.0,4,batter,80.7,,
R Ravindra,"Brian Lara Stadium, Tarouba, Trinidad",9,18,,1,bowler,,2.0,3.0
KA Maharaj,"County Ground, Bristol",4,5,0.0,1,batter,80.0,,
AC Voges,Kennington Oval,125,191,14.0,2,batter,65.45,,
RS Bopara,Wankhede Stadium,8,19,0.0,1,batter,42.11,,
A Kumble,P Saravanamuttu Stadium,157,308,,1,bowler,,3.0,3.06
Tapash Baisya,"New Wanderers Stadium, Johannesburg",22,48,,1,bowler,,1.0,2.75
RN ten Doeschate,Lord's,74,54,6.0,3,batter,137.04,,
Saeed Ajmal,National Stadium,66,110,,2,bowler,,3.0,3.6
KD Mills,AMI Stadium,191,204,,4,bowler,,8.0,5.62
Mosaddek Hossain,P Sara Oval,21,42,,1,bowler,,0.0,3.0
CK Kapugedera,Bay Oval,27,23,3.0,2,batter,117.39,,
T de Zorzi,"Iqbal Stadium, Faisalabad",96,96,14.0,3,batter,100.0,,
RP Burl,Zahur Ahmed Chowdhury Stadium,1,3,0.0,1,batter,33.33,,
J Miyaji,Harare Sports Club,3,8,0.0,1,batter,37.5,,
MV Boucher,"Sardar Patel Stadium, Motera",50,87,2.0,2,batter,57.47,,
RT Ponting,"Brisbane Cricket Ground, Woolloongabba",786,1147,86.0,18,batter,68.53,,
DA Miller,The Wanderers Stadium,226,148,28.0,7,batter,152.7,,
DT Johnston,Sheikh Zayed Stadium,39,24,5.0,1,batter,162.5,,
AC Agar,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2,6,0.0,2,batter,33.33,,
Shoriful Islam,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",130,120,,5,bowler,,5.0,6.5
NM Coulter-Nile,Trent Bridge,92,60,12.0,1,batter,153.33,,
IKEG Artawan,Gelephu International Cricket Ground,85,99,,5,bowler,,2.0,5.15
Haider Butt,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),77,52,11.0,5,batter,148.08,,
Misbah-ul-Haq,Kingsmead,156,144,21.0,3,batter,108.33,,
A Gbla,Gahanga International Cricket Stadium. Rwanda,29,24,,2,bowler,,1.0,7.25
HT Tector,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),42,35,4.0,2,batter,120.0,,
KP Pietersen,"MA Chidambaram Stadium, Chepauk",7,41,0.0,2,batter,17.07,,
JN Gillespie,"Lord's, London",48,84,,1,bowler,,0.0,3.43
S Shillingford,Wankhede Stadium,179,258,,1,bowler,,5.0,4.16
AB Agarkar,"MA Chidambaram Stadium, Chepauk",2,10,0.0,1,batter,20.0,,
SK Raina,Newlands,80,74,10.0,2,batter,108.11,,
DR Smith,Melbourne Cricket Ground,97,96,,2,bowler,,1.0,6.06
TH David,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2,3,0.0,1,batter,66.67,,
A Athanaze,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",87,68,13.0,3,batter,127.94,,
Khaled Ahmed,Sylhet International Cricket Stadium,26,32,4.0,2,batter,81.25,,
A Zampa,Senwes Park,45,60,,1,bowler,,1.0,4.5
JWM Dalrymple,"Sardar Patel Stadium, Motera",8,13,1.0,1,batter,61.54,,
MP Kuhnemann,"Sabina Park, Kingston, Jamaica",33,24,,1,bowler,,0.0,8.25
BA Stokes,"Brisbane Cricket Ground, Woolloongabba",0,1,0.0,1,batter,0.0,,
LHD Dilhara,Reliance Stadium,5,6,1.0,1,batter,83.33,,
AR Nurse,"Kensington Oval, Bridgetown",57,48,,1,bowler,,1.0,7.12
MM Ali,"Vidarbha Cricket Association Stadium, Jamtha",1,2,0.0,1,batter,50.0,,
Wasim Ali,"ICC Academy, Dubai",29,24,,2,bowler,,2.0,7.25
NRD Compton,Newlands,60,164,8.0,1,batter,36.59,,
Abbas Ghani,Roma Cricket Ground,0,3,0.0,1,batter,0.0,,
Imad Wasim,"Gaddafi Stadium, Lahore",80,66,,5,bowler,,4.0,7.27
R Dravid,Wankhede Stadium,249,480,29.0,3,batter,51.88,,
SR Watson,SuperSport Park,322,356,41.0,6,batter,90.45,,
P Jayawickrama,Melbourne Cricket Ground,29,24,,1,bowler,,1.0,7.25
I Udana,Sophia Gardens,24,18,,1,bowler,,0.0,8.0
F Banunaek,"Yeonhui Cricket Ground, Incheon",143,132,,7,bowler,,9.0,6.5
M van Lingen,"Wanderers Cricket Ground, Windhoek",538,470,78.0,16,batter,114.47,,
MS Panesar,"MA Chidambaram Stadium, Chepauk",170,276,,1,bowler,,3.0,3.7
A Flintoff,"Sabina Park, Kingston",65,190,6.0,1,batter,34.21,,
M Choamba,"Achimota Senior Secondary School B Field, Accra",5,12,,1,bowler,,0.0,2.5
JDP Oram,"Punjab Cricket Association Stadium, Mohali",68,108,,2,bowler,,2.0,3.78
Ravi Bishnoi,"The Wanderers Stadium, Johannesburg",28,18,,1,bowler,,1.0,9.33
V Sukumaran,"Tribhuvan University International Cricket Ground, Kirtipur",17,47,1.0,2,batter,36.17,,
Ali Khan,"United Cricket Club Ground, Windhoek",105,118,,2,bowler,,8.0,5.34
MC Henriques,Sydney Cricket Ground,43,48,,2,bowler,,1.0,5.38
Shafiul Islam,McLean Park,68,60,,1,bowler,,4.0,6.8
KJ Abbott,Barabati Stadium,21,18,,1,bowler,,0.0,7.0
Mushfiqur Rahim,Arun Jaitley Stadium,60,43,9.0,1,batter,139.53,,
KD Mills,Adelaide Oval,98,116,,2,bowler,,2.0,5.07
KA Pollard,"MA Chidambaram Stadium, Chepauk",157,162,,5,bowler,,2.0,5.81
W Barresi,"The Village, Malahide",9,10,2.0,1,batter,90.0,,
J Little,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",22,18,3.0,1,batter,122.22,,
SB Styris,"SuperSport Park, Centurion",15,21,1.0,1,batter,71.43,,
L Bruce,"Meersen, Gent",17,6,,1,bowler,,0.0,17.0
TWM Latham,Senwes Park,64,81,8.0,1,batter,79.01,,
K Bhurtel,Pallekele International Cricket Stadium,38,25,5.0,1,batter,152.0,,
Saud Shakeel,"Narendra Modi Stadium, Ahmedabad",6,10,0.0,1,batter,60.0,,
Sirajullah Khadim,Roma Cricket Ground,2,3,0.0,1,batter,66.67,,
AK Markram,"Kingsmead, Durban",60,42,,3,bowler,,1.0,8.57
Harbhajan Singh,Kinrara Academy Oval,37,61,3.0,2,batter,60.66,,
SD Hope,Edgbaston,19,63,3.0,1,batter,30.16,,
IDR Bradshaw,Lord's,0,1,0.0,1,batter,0.0,,
Abdur Rehman,National Stadium,9,46,1.0,1,batter,19.57,,
R Ashwin,Stadium Australia,15,16,1.0,1,batter,93.75,,
HT Tector,"Brisbane Cricket Ground, Woolloongabba, Brisbane",6,4,1.0,1,batter,150.0,,
Shahadat Hossain,"Sir Vivian Richards Stadium, North Sound, Antigua",22,92,1.0,1,batter,23.91,,
Q de Kock,Eden Park,20,33,3.0,4,batter,60.61,,
SB Styris,Pallekele International Cricket Stadium,28,37,1.0,1,batter,75.68,,
PT Collins,"Brisbane Cricket Ground, Woolloongabba",0,1,0.0,1,batter,0.0,,
MJ North,Sheikh Zayed Stadium,6,19,0.0,2,batter,31.58,,
SL Malinga,The Rose Bowl,25,18,,1,bowler,,0.0,8.33
SCJ Broad,"Bay Oval, Mount Maunganui",9,22,1.0,1,batter,40.91,,
M Vijay,Khan Shaheb Osman Ali Stadium,150,272,13.0,1,batter,55.15,,
Z Khan,Headingley,44,48,,1,bowler,,1.0,5.5
D Ravu,"Amini Park, Port Moresby",18,28,2.0,3,batter,64.29,,
MA Wood,"Brisbane Cricket Ground, Woolloongabba, Brisbane",114,172,,2,bowler,,4.0,3.98
Yuvraj Singh,New Wanderers Stadium,72,96,5.0,4,batter,75.0,,
BR McDermott,"Shaheed Veer Narayan Singh International Stadium, Raipur",19,22,1.0,1,batter,86.36,,
VVS Laxman,Eden Gardens,469,802,47.0,4,batter,58.48,,
KA Jamieson,"Lord's, London",265,498,,3,bowler,,10.0,3.19
Rizwan Butt,Udayana Cricket Ground,120,162,,8,bowler,,10.0,4.44
Muhammad Wafiq,Kinrara Academy Oval,114,96,,4,bowler,,5.0,7.12
GC Smith,Eden Park,19,30,,1,bowler,,1.0,3.8
Mohammad Sami,Rawalpindi Cricket Stadium,283,454,,5,bowler,,9.0,3.74
Zeeshan Khan,Happy Valley Ground 2,16,22,0.0,1,batter,72.73,,
Umar Gul,New Wanderers Stadium,29,55,4.0,3,batter,52.73,,
AB de Villiers,The Wanderers Stadium,12,6,,1,bowler,,0.0,12.0
Ahmed Raza,Dubai International Cricket Stadium,72,112,7.0,7,batter,64.29,,
LB Williams,"The Village, Malahide, Dublin",93,72,,2,bowler,,1.0,7.75
J Blackwood,"Sabina Park, Kingston, Jamaica",135,233,23.0,2,batter,57.94,,
Umar Gul,Edgbaston,23,37,2.0,3,batter,62.16,,
DC Thomas,"Windsor Park, Roseau",11,7,,1,bowler,,2.0,9.43
C Fortuin,"Bay Oval, Mount Maunganui",20,71,3.0,1,batter,28.17,,
KH Prajapati,"Wanderers Cricket Ground, Windhoek",21,36,3.0,1,batter,58.33,,
S Matsikenyeri,University Oval,1,2,0.0,1,batter,50.0,,
DGAPD Wiswi,"Terdthai Cricket Ground, Bangkok",25,35,2.0,3,batter,71.43,,
PL Harris,Sydney Cricket Ground,147,299,,1,bowler,,4.0,2.95
Harbhajan Singh,MA Chidambaram Stadium,198,455,,1,bowler,,5.0,2.61
LE Plunkett,Nahar Singh Stadium,4,6,0.0,1,batter,66.67,,
SO Ngoche,"MA Chidambaram Stadium, Chepauk",0,1,0.0,1,batter,0.0,,
G Motie,"Arnos Vale Ground, Kingstown, St Vincent",70,48,,3,bowler,,3.0,8.75
Imran Tahir,Headingley,0,6,0.0,1,batter,0.0,,
CN Ackermann,"Himachal Pradesh Cricket Association Stadium, Dharamsala",16,18,,1,bowler,,1.0,5.33
C Overton,"National Cricket Stadium, St George's, Grenada",15,26,1.0,1,batter,57.69,,
TP Ura,Harare Sports Club,151,142,17.0,1,batter,106.34,,
Karan KC,"The Village, Malahide",16,6,,1,bowler,,0.0,16.0
G Gambhir,Brabourne Stadium,62,51,7.0,1,batter,121.57,,
KK Ahmed,"Queen's Park Oval, Trinidad",100,84,,2,bowler,,4.0,7.14
S Rungrueang,"West End Park International Cricket Stadium, Doha",9,15,0.0,4,batter,60.0,,
Harbhajan Singh,"Sabina Park, Kingston",120,177,15.0,5,batter,67.8,,
KJ Coetzer,Bulawayo Athletic Club,41,59,6.0,1,batter,69.49,,
Imrul Kayes,P Sara Oval,34,79,4.0,1,batter,43.04,,
GJ Maxwell,Sawai Mansingh Stadium,53,32,8.0,1,batter,165.62,,
WD Parnell,"Holkar Cricket Stadium, Indore",41,24,,1,bowler,,2.0,10.25
CBRLS Kumara,"Zahur Ahmed Chowdhury Stadium, Chattogram",202,288,,4,bowler,,11.0,4.21
Yuvraj Singh,"McLean Park, Napier",0,2,0.0,1,batter,0.0,,
MM Baig,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),54,39,7.0,3,batter,138.46,,
Mominul Haque,"Kingsmead, Durban",17,30,,1,bowler,,0.0,3.4
AR Nurse,Newlands,24,18,,1,bowler,,0.0,8.0
NB Mahwire,Sydney Cricket Ground,7,33,1.0,1,batter,21.21,,
SP Narine,Seddon Park,2,22,0.0,1,batter,9.09,,
Shahid Afridi,Multan Cricket Stadium,168,225,,5,bowler,,6.0,4.48
W Madhevere,"Civil Service Cricket Club, Stormont, Belfast",42,48,,2,bowler,,1.0,5.25
JP Duminy,Sinhalese Sports Club,10,12,,1,bowler,,0.0,5.0
NLTC Perera,Sheikh Zayed Stadium,152,186,,6,bowler,,7.0,4.9
JDF Vandersay,Newlands,25,24,,1,bowler,,1.0,6.25
C Munro,Malahide,16,24,,1,bowler,,0.0,4.0
MG Johnson,Headingley,211,313,,2,bowler,,8.0,4.04
C Munro,Dubai International Cricket Stadium,58,48,,3,bowler,,1.0,7.25
MS Atapattu,Queens Sports Club,0,6,0.0,1,batter,0.0,,
DM Richards,"Kensington Oval, Bridgetown",17,23,4.0,1,batter,73.91,,
Shahid Afridi,"Beausejour Stadium, Gros Islet",330,324,,10,bowler,,4.0,6.11
R Ashwin,Westpac Stadium,7,11,1.0,1,batter,63.64,,
Aamir Kaleem,Mannofield Park,54,76,,2,bowler,,2.0,4.26
VS Solanki,"Headingley, Leeds",8,9,1.0,1,batter,88.89,,
Shadab Khan,Melbourne Cricket Ground,25,20,3.0,2,batter,125.0,,
Nizakat Khan,"Vidarbha Cricket Association Stadium, Jamtha",17,11,2.0,2,batter,154.55,,
RS Morton,Eden Park,26,54,4.0,2,batter,48.15,,
SJ Harmison,"Civil Service Cricket Club, Stormont",58,60,,1,bowler,,3.0,5.8
SA Yadav,Melbourne Cricket Ground,77,39,12.0,3,batter,197.44,,
JC Tredwell,"The Village, Malahide",35,60,,1,bowler,,2.0,3.5
NK Patel,"Amini Park, Port Moresby",88,90,,3,bowler,,3.0,5.87
GD McGrath,W.A.C.A. Ground,9,12,1.0,3,batter,75.0,,
BJ Haddin,Sawai Mansingh Stadium,1,1,0.0,1,batter,100.0,,
AJ Finch,Newlands,74,77,10.0,2,batter,96.1,,
AD Mathews,Sydney Cricket Ground,146,138,,4,bowler,,2.0,6.35
Sami Sohail,"Takashinga Sports Club, Highfield, Harare",86,54,,3,bowler,,2.0,9.56
Khaled Mashud,Rawalpindi Cricket Stadium,0,4,0.0,1,batter,0.0,,
BMAJ Mendis,Sophia Gardens,26,39,1.0,2,batter,66.67,,
SJ Modani,Bulawayo Athletic Club,2,6,,1,bowler,,1.0,2.0
G Gambhir,"Sardar Patel Stadium, Motera",250,464,26.0,6,batter,53.88,,
S Sola,Sano International Cricket Ground,90,114,,6,bowler,,9.0,4.74
MVT Fernando,National Stadium,5,41,0.0,1,batter,12.2,,
Muhammad Amir,Singapore National Cricket Ground,59,42,,2,bowler,,2.0,8.43
Ebadat Hossain,"St George's Park, Port Elizabeth",150,198,,1,bowler,,0.0,4.55
RG Mukasa,"Wanderers Cricket Ground, Windhoek",36,35,4.0,6,batter,102.86,,
Mahmudullah,Boland Park,16,12,,1,bowler,,0.0,8.0
CRD Fernando,"Sardar Patel Stadium, Motera",4,7,1.0,1,batter,57.14,,
RN ten Doeschate,"Civil Service Cricket Club, Stormont",24,18,2.0,1,batter,133.33,,
PJ Cummins,"Edgbaston, Birmingham",122,194,,1,bowler,,4.0,3.77
MG Johnson,M Chinnaswamy Stadium,324,576,,5,bowler,,10.0,3.38
HH Pandya,"Zayed Cricket Stadium, Abu Dhabi",26,24,,1,bowler,,1.0,6.5
L Embuldeniya,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,47,0.0,1,batter,4.26,,
MO Jones,"Coolidge Cricket Ground, Antigua",1,1,0.0,1,batter,100.0,,
MJ Swepson,Galle International Stadium,192,348,,2,bowler,,8.0,3.31
S Pillai,"Clayton Panama, Panama City",106,83,,4,bowler,,1.0,7.66
PD Collingwood,"Civil Service Cricket Club, Stormont",48,54,,2,bowler,,3.0,5.33
N Davin,ICC Academy Ground No 2,52,20,8.0,2,batter,260.0,,
SR Taylor,"Grand Prairie Stadium, Dallas",12,18,1.0,2,batter,66.67,,
BJ Hodge,New Wanderers Stadium,36,29,3.0,1,batter,124.14,,
MP Vaughan,"Edgbaston, Birmingham",199,381,30.0,2,batter,52.23,,
Mohammad Ashraful,St Lawrence Ground,7,4,1.0,1,batter,175.0,,
RJ Gleeson,"Sophia Gardens, Cardiff",38,18,,1,bowler,,1.0,12.67
AV Lalcheta,Himachal Pradesh Cricket Association Stadium,59,42,,2,bowler,,1.0,8.43
MD Shanaka,"Saurashtra Cricket Association Stadium, Rajkot",23,17,2.0,1,batter,135.29,,
T Bavuma,"Providence Stadium, Guyana",4,20,1.0,1,batter,20.0,,
E Rukiriza,"Wanderers Cricket Ground, Windhoek",0,1,0.0,1,batter,0.0,,
DJ Mitchell,"Zayed Cricket Stadium, Abu Dhabi",72,47,8.0,1,batter,153.19,,
RR Sarwan,Antigua Recreation Ground,216,441,25.0,2,batter,48.98,,
AB Agarkar,Sydney Cricket Ground,2,5,0.0,1,batter,40.0,,
SPD Smith,Holkar Cricket Stadium,63,71,5.0,1,batter,88.73,,
Bilawal Bhatti,Newlands,39,25,5.0,1,batter,156.0,,
KS Williamson,"Vidarbha Cricket Association Stadium, Jamtha",45,66,,1,bowler,,1.0,4.09
M Muralitharan,Rangiri Dambulla International Stadium,53,61,6.0,8,batter,86.89,,
CS MacLeod,Bulawayo Athletic Club,10,9,2.0,1,batter,111.11,,
MRJ Watt,Mannofield Park,6,20,1.0,2,batter,30.0,,
MR Gillespie,Eden Park,0,4,0.0,1,batter,0.0,,
PM Siddle,Sheikh Zayed Stadium,39,71,3.0,2,batter,54.93,,
Aqib Ilyas,Bulawayo Athletic Club,136,161,16.0,3,batter,84.47,,
KJ Abbott,Chevrolet Park,35,36,,1,bowler,,1.0,5.83
A Athanaze,"Sir Vivian Richards Stadium, North Sound, Antigua",202,271,29.0,3,batter,74.54,,
Basil Hameed,"United Cricket Club Ground, Windhoek",121,91,17.0,3,batter,132.97,,
R Ravindra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",46,60,,1,bowler,,1.0,4.6
IR Bell,Himachal Pradesh Cricket Association Stadium,113,143,14.0,1,batter,79.02,,
Z Khan,"McLean Park, Napier",11,13,1.0,1,batter,84.62,,
MKDI Amerasinghe,Bellerive Oval,0,1,0.0,1,batter,0.0,,
CH Gayle,Manuka Oval,211,147,26.0,2,batter,143.54,,
BA Williams,Melbourne Cricket Ground,193,234,,4,bowler,,6.0,4.95
MD Craig,Green Park,139,282,,1,bowler,,2.0,2.96
CR Woakes,Barabati Stadium,60,60,,1,bowler,,4.0,6.0
RG Sharma,"Green Park, Kanpur",30,17,5.0,1,batter,176.47,,
AD Russell,Barabati Stadium,22,20,3.0,1,batter,110.0,,
DL Chahar,"Hagley Oval, Christchurch",30,30,,1,bowler,,0.0,6.0
RJG Palmer,"Desert Springs Cricket Ground, Almeria",26,30,,2,bowler,,1.0,5.2
P Utseya,National Stadium,17,22,1.0,1,batter,77.27,,
Mohammad Hafeez,Eden Gardens,29,60,,1,bowler,,1.0,2.9
Junaid Khan,SuperSport Park,51,48,,2,bowler,,3.0,6.38
PA Patel,Lord's,27,32,4.0,1,batter,84.38,,
Rameez Shahzad,Tolerance Oval,29,47,1.0,2,batter,61.7,,
NO Miller,"Windsor Park, Roseau",50,54,,1,bowler,,1.0,5.56
BW Hilfenhaus,Sheikh Zayed Stadium,63,84,,2,bowler,,1.0,4.5
JJ Bumrah,"Trent Bridge, Nottingham",28,34,4.0,1,batter,82.35,,
G Onions,Newlands,4,20,1.0,1,batter,20.0,,
IR Bell,Maharani Usharaje Trust Cricket Ground,31,46,4.0,2,batter,67.39,,
M Commins,Harare Sports Club,6,13,0.0,1,batter,46.15,,
JO Holder,"The Rose Bowl, Southampton",43,24,,1,bowler,,0.0,10.75
LMP Simmons,Green Park,12,13,2.0,1,batter,92.31,,
JP Behrendorff,JSCA International Stadium Complex,5,6,,1,bowler,,0.0,5.0
F Achelam,Entebbe Cricket Oval,11,7,1.0,3,batter,157.14,,
BA Stokes,Mangaung Oval,31,30,,1,bowler,,0.0,6.2
JC Archer,Lord's,13,25,2.0,3,batter,52.0,,
JJ Smit,Dubai International Cricket Stadium,164,119,18.0,7,batter,137.82,,
AB McDonald,New Wanderers Stadium,53,192,,1,bowler,,2.0,1.66
DJ Bravo,"Queen's Park Oval, Port of Spain",534,697,,13,bowler,,16.0,4.6
KD Mills,Zahur Ahmed Chowdhury Stadium,115,90,,4,bowler,,4.0,7.67
HMRKB Herath,Kennington Oval,2,5,0.0,1,batter,40.0,,
RL Chase,"Narendra Modi Stadium, Ahmedabad",27,49,4.0,2,batter,55.1,,
Mohammad Hafeez,"The Wanderers Stadium, Johannesburg",45,34,7.0,2,batter,132.35,,
WU Tharanga,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,95,82,15.0,1,batter,115.85,,
TT Bresnan,R Premadasa Stadium,75,72,,2,bowler,,0.0,6.25
NM Hauritz,St George's Park,51,42,,1,bowler,,0.0,7.29
VR Aaron,Barabati Stadium,6,11,1.0,1,batter,54.55,,
A Symonds,R.Premadasa Stadium,53,75,3.0,1,batter,70.67,,
MR Marsh,"Zayed Cricket Stadium, Abu Dhabi",16,18,,1,bowler,,0.0,5.33
F Damiao Couana,"Willowmoore Park, Benoni",86,76,13.0,3,batter,113.16,,
MN Samuels,Zahur Ahmed Chowdhury Stadium,29,59,4.0,2,batter,49.15,,
Nithish Kumar Reddy,"Holkar Cricket Stadium, Indore",53,48,,1,bowler,,0.0,6.62
DM de Silva,"Sinhalese Sports Club Ground, Colombo",74,115,13.0,2,batter,64.35,,
Faisal Iqbal,"Newlands, Cape Town",35,88,4.0,1,batter,39.77,,
Abdul Waheed,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),11,12,,1,bowler,,2.0,5.5
Aqib Ilyas,Sheikh Zayed Stadium,230,187,31.0,9,batter,122.99,,
TK Patel,Central Broward Regional Park Stadium Turf Ground,4,27,0.0,3,batter,14.81,,
M Gogev,"King George V Sports Ground, Castel",23,24,,1,bowler,,0.0,5.75
Harshit Rana,"Holkar Cricket Stadium, Indore",52,43,8.0,1,batter,120.93,,
DE Bollinger,St George's Park,64,60,,1,bowler,,2.0,6.4
SK Raina,Seddon Park,35,22,6.0,1,batter,159.09,,
WU Tharanga,Nehru Stadium,21,27,4.0,1,batter,77.78,,
Z Khan,"Kingsmead, Durban",43,113,,2,bowler,,5.0,2.28
PJ Cummins,"Eden Park, Auckland",28,21,5.0,1,batter,133.33,,
SA Yadav,"Eden Park, Auckland",4,3,1.0,1,batter,133.33,,
DP Conway,"Riverside Ground, Chester-le-Street",3,8,0.0,1,batter,37.5,,
H Ssenyondo,Harare Sports Club,29,21,,1,bowler,,1.0,8.29
Dhruv Jurel,"MA Chidambaram Stadium, Chepauk, Chennai",4,5,0.0,1,batter,80.0,,
KC Brathwaite,Zahur Ahmed Chowdhury Stadium,39,78,,2,bowler,,0.0,3.0
Zain Ahmad,Kerava National Cricket Ground,3,7,0.0,3,batter,42.86,,
Rahat Ali,Sharjah Cricket Stadium,10,74,1.0,2,batter,13.51,,
Usman Patel,"YSD-UKM Cricket Oval, Bangi",111,55,15.0,3,batter,201.82,,
JH Kallis,Carisbrook,32,30,,1,bowler,,0.0,6.4
RAS Lakmal,The Rose Bowl,0,1,0.0,1,batter,0.0,,
Shaiman Anwar,Harare Sports Club,26,23,,2,bowler,,1.0,6.78
CS Baugh,Providence Stadium,11,28,2.0,1,batter,39.29,,
