player,cricsheet_id,unique_name,key_cricinfo,key_bcci,key_bigbash,batting_hand,bowling_style,role
Moin Khan,feb37330,Moin Khan,41306.0,,,Data not available,Data not available,Data not available
Mominul Haque,de0a3209,Mominul Haque,373696.0,,,Data not available,Data not available,Data not available
Moniruzzaman,075e9f9c,Moniruzzaman,56011.0,,,Data not available,Data not available,Data not available
Mosaddek Hossain,8919756f,Mosaddek Hossain,550133.0,,,Data not available,Data not available,Data not available
Mosharraf Hossain,8eb611d0,Mosharraf Hossain,56017.0,,,Data not available,Data not available,Data not available
Mudassar Bukhari,37312a74,Mudassar Bukhari,245166.0,,,Data not available,Data not available,Data not available
Muhammad Ajmal,0782aec3,Muhammad Ajmal,1392860.0,,,Data not available,Data not available,Data not available
Muhammad Amir,60bec5c3,Muhammad Amir,1021025.0,,,Data not available,Data not available,Data not available
Muhammad Farooq,8f3c6b8a,Muhammad Farooq,1323402.0,,,Data not available,Data not available,Data not available
Muhammad Haziq Aiman,1f13eba1,Muhammad Haziq Aiman,1495256.0,,,Data not available,Data not available,Data not available
Muhammad Jabir,b67af1c4,Muhammad Jabir,1397991.0,,,Data not available,Data not available,Data not available
Muhammad Jawadullah,098a757c,Muhammad Jawadullah,1353033.0,,,Data not available,Data not available,Data not available
Muhammad Kashif,e7458e4b,Muhammad Kashif,1093661.0,,,Data not available,Data not available,Data not available
Muhammad Muneeb,5338b9f5,Muhammad Muneeb,1230633.0,,,Data not available,Data not available,Data not available
Muhammad Musa,9b8a3c39,Muhammad Musa,1072472.0,,,Data not available,Data not available,Data not available
Muhammad Nadir,090f96e4,Muhammad Nadir,1400992.0,,,Data not available,Data not available,Data not available
Muhammad Salman,460fc0ba,Muhammad Salman,1457573.0,,,Data not available,Data not available,Data not available
Muhammad Saqlain,f094e3b8,Muhammad Saqlain,1435143.0,,,Data not available,Data not available,Data not available
Muhammad Tanveer,aef39fe4,Muhammad Tanveer,1093669.0,,,Data not available,Data not available,Data not available
