player,phase,runs,balls,dots,boundaries,entity_type,strike_rate,dot_ball_pct,boundary_pct,wickets,economy
GJ Maxwell,Long-format,339,569,389,40,batter,59.58,68.37,7.03,,
GJ Maxwell,Middle,2069,1458,501,263,batter,141.91,34.36,18.04,,
GJ Maxwell,Powerplay,496,336,142,81,batter,147.62,42.26,24.11,,
GP Swann,Death,569,583,235,60,batter,97.6,40.31,10.29,,
GP Swann,Long-format,1356,1774,1157,198,batter,76.44,65.22,11.16,,
GP Swann,Middle,9,17,8,0,batter,52.94,47.06,0.0,,
GS Ballance,Death,315,401,180,23,batter,78.55,44.89,5.74,,
GS Ballance,Long-format,1642,3440,2615,218,batter,47.73,76.02,6.34,,
GS Ballance,Middle,124,204,120,11,batter,60.78,58.82,5.39,,
GS Ballance,Powerplay,42,61,40,7,batter,68.85,65.57,11.48,,
H Klaasen,Death,2034,1589,587,256,batter,128.01,36.94,16.11,,
H Klaasen,Long-format,104,229,174,11,batter,45.41,75.98,4.8,,
H Klaasen,Middle,992,812,324,126,batter,122.17,39.9,15.52,,
H Klaasen,Powerplay,76,111,71,8,batter,68.47,63.96,7.21,,
H Masakadza,Death,1499,1755,842,134,batter,85.41,47.98,7.64,,
H Masakadza,Long-format,1640,3615,2790,212,batter,45.37,77.18,5.86,,
H Masakadza,Middle,1879,2418,1388,223,batter,77.71,57.4,9.22,,
H Masakadza,Powerplay,1784,2405,1596,274,batter,74.18,66.36,11.39,,
H Ssenyondo,Death,21,43,24,0,batter,48.84,55.81,0.0,,
H Ssenyondo,Middle,2,5,3,0,batter,40.0,60.0,0.0,,
HAPW Jayawardene,Death,4,9,5,0,batter,44.44,55.56,0.0,,
HAPW Jayawardene,Long-format,2084,4280,3122,235,batter,48.69,72.94,5.49,,
HC Brook,Death,1195,952,389,151,batter,125.53,40.86,15.86,,
HC Brook,Long-format,3165,3632,1999,393,batter,87.14,55.04,10.82,,
HC Brook,Middle,1141,894,343,148,batter,127.63,38.37,16.55,,
HC Brook,Powerplay,208,191,103,33,batter,108.9,53.93,17.28,,
HDRL Thirimanne,Death,2214,2753,1238,168,batter,80.42,44.97,6.1,,
HDRL Thirimanne,Long-format,2082,5274,4090,210,batter,39.48,77.55,3.98,,
HDRL Thirimanne,Middle,950,1345,769,96,batter,70.63,57.17,7.14,,
HDRL Thirimanne,Powerplay,283,517,368,37,batter,54.74,71.18,7.16,,
HE van der Dussen,Death,2251,2196,888,219,batter,102.5,40.44,9.97,,
HE van der Dussen,Long-format,903,2207,1733,107,batter,40.92,78.52,4.85,,
HE van der Dussen,Middle,1317,1387,581,126,batter,94.95,41.89,9.08,,
HE van der Dussen,Powerplay,353,413,246,47,batter,85.47,59.56,11.38,,
HG Munsey,Death,1430,1582,829,176,batter,90.39,52.4,11.13,,
HG Munsey,Middle,1568,1244,529,209,batter,126.05,42.52,16.8,,
HG Munsey,Powerplay,2051,1654,826,345,batter,124.0,49.94,20.86,,
HH Gibbs,Death,1959,2008,852,203,batter,97.56,42.43,10.11,,
HH Gibbs,Long-format,2074,3621,2728,331,batter,57.28,75.34,9.14,,
HH Gibbs,Middle,1336,1475,840,198,batter,90.58,56.95,13.42,,
HH Gibbs,Powerplay,810,1144,798,130,batter,70.8,69.76,11.36,,
HH Pandya,Death,2913,2185,835,363,batter,133.32,38.22,16.61,,
HH Pandya,Long-format,461,626,424,70,batter,73.64,67.73,11.18,,
HH Pandya,Middle,1104,980,366,121,batter,112.65,37.35,12.35,,
HH Pandya,Powerplay,89,60,27,14,batter,148.33,45.0,23.33,,
HM Amla,Death,3283,3507,1239,243,batter,93.61,35.33,6.93,,
HM Amla,Long-format,9089,18128,13332,1155,batter,50.14,73.54,6.37,,
HM Amla,Middle,2813,3076,1385,298,batter,91.45,45.03,9.69,,
HM Amla,Powerplay,2991,3215,1866,472,batter,93.03,58.04,14.68,,
HM Nicholls,Death,1472,1627,704,138,batter,90.47,43.27,8.48,,
HM Nicholls,Long-format,3136,6198,4476,352,batter,50.6,72.22,5.68,,
HM Nicholls,Middle,696,912,493,76,batter,76.32,54.06,8.33,,
HM Nicholls,Powerplay,262,490,345,32,batter,53.47,70.41,6.53,,
HMRKB Herath,Death,147,226,116,12,batter,65.04,51.33,5.31,,
HMRKB Herath,Long-format,1572,3054,2165,191,batter,51.47,70.89,6.25,,
HMRKB Herath,Middle,1,3,2,0,batter,33.33,66.67,0.0,,
HT Tector,Death,1630,1630,707,174,batter,100.0,43.37,10.67,,
HT Tector,Long-format,438,979,735,52,batter,44.74,75.08,5.31,,
HT Tector,Middle,1370,1400,557,123,batter,97.86,39.79,8.79,,
HT Tector,Powerplay,379,415,207,53,batter,91.33,49.88,12.77,,
Harbhajan Singh,Death,990,1161,599,102,batter,85.27,51.59,8.79,,
Harbhajan Singh,Long-format,1540,2460,1686,208,batter,62.6,68.54,8.46,,
Harbhajan Singh,Middle,28,40,23,3,batter,70.0,57.5,7.5,,
Haris Rauf,Death,202,214,129,26,batter,94.39,60.28,12.15,,
Haris Rauf,Long-format,12,33,23,0,batter,36.36,69.7,0.0,,
Haris Rauf,Middle,7,14,10,1,batter,50.0,71.43,7.14,,
Haris Sohail,Death,1333,1459,621,118,batter,91.36,42.56,8.09,,
Haris Sohail,Long-format,845,1929,1480,87,batter,43.81,76.72,4.51,,
Haris Sohail,Middle,455,535,265,48,batter,85.05,49.53,8.97,,
Haris Sohail,Powerplay,124,174,113,16,batter,71.26,64.94,9.2,,
Hasan Ali,Death,505,399,186,68,batter,126.57,46.62,17.04,,
Hasan Ali,Long-format,407,584,425,58,batter,69.69,72.77,9.93,,
Hasan Ali,Middle,11,10,4,1,batter,110.0,40.0,10.0,,
Hasan Mahmud,Death,75,112,69,7,batter,66.96,61.61,6.25,,
Hasan Mahmud,Long-format,158,399,330,21,batter,39.6,82.71,5.26,,
Hasan Mahmud,Middle,5,15,10,0,batter,33.33,66.67,0.0,,
I Sharma,Death,80,209,153,7,batter,38.28,73.21,3.35,,
I Sharma,Long-format,772,2541,2099,87,batter,30.38,82.61,3.42,,
I Sharma,Middle,0,3,3,0,batter,0.0,100.0,0.0,,
IJL Trott,Death,1899,2281,933,118,batter,83.25,40.9,5.17,,
IJL Trott,Long-format,3793,8068,6079,449,batter,47.01,75.35,5.57,,
IJL Trott,Middle,752,1091,629,76,batter,68.93,57.65,6.97,,
IJL Trott,Powerplay,300,422,261,36,batter,71.09,61.85,8.53,,
IK Pathan,Death,1039,1191,597,110,batter,87.24,50.13,9.24,,
IK Pathan,Long-format,735,1271,903,99,batter,57.83,71.05,7.79,,
IK Pathan,Middle,288,369,237,42,batter,78.05,64.23,11.38,,
IK Pathan,Powerplay,46,82,53,6,batter,56.1,64.63,7.32,,
IR Bell,Death,2500,3080,1401,179,batter,81.17,45.49,5.81,,
IR Bell,Long-format,7349,14830,11090,918,batter,49.55,74.78,6.19,,
IR Bell,Middle,1843,2389,1411,228,batter,77.15,59.06,9.54,,
IR Bell,Powerplay,1089,1505,990,153,batter,72.36,65.78,10.17,,
IS Sodhi,Death,406,447,221,41,batter,90.83,49.44,9.17,,
IS Sodhi,Long-format,561,1192,913,75,batter,47.06,76.59,6.29,,
IS Sodhi,Middle,47,64,28,3,batter,73.44,43.75,4.69,,
Imad Wasim,Death,1183,1001,350,137,batter,118.18,34.97,13.69,,
Imad Wasim,Middle,193,157,53,26,batter,122.93,33.76,16.56,,
Imad Wasim,Powerplay,0,2,2,0,batter,0.0,100.0,0.0,,
Imam-ul-Haq,Death,1325,1310,443,99,batter,101.15,33.82,7.56,,
Imam-ul-Haq,Long-format,1728,3676,2745,201,batter,47.01,74.67,5.47,,
Imam-ul-Haq,Middle,874,1084,528,78,batter,80.63,48.71,7.2,,
Imam-ul-Haq,Powerplay,676,1069,740,90,batter,63.24,69.22,8.42,,
Imran Farhat,Death,394,509,256,37,batter,77.41,50.29,7.27,,
Imran Farhat,Long-format,1553,3308,2554,219,batter,46.95,77.21,6.62,,
Imran Farhat,Middle,492,688,426,67,batter,71.51,61.92,9.74,,
Imran Farhat,Powerplay,408,695,479,59,batter,58.71,68.92,8.49,,
Imran Khan,Death,19,20,6,1,batter,95.0,30.0,5.0,,
Imran Khan,Long-format,16,50,44,3,batter,32.0,88.0,6.0,,
Imran Khan,Middle,23,22,11,3,batter,104.55,50.0,13.64,,
Imran Khan,Powerplay,23,25,17,4,batter,92.0,68.0,16.0,,
Imran Tahir,Death,175,242,154,24,batter,72.31,63.64,9.92,,
Imran Tahir,Long-format,126,234,181,18,batter,53.85,77.35,7.69,,
